#threads, exec_time, speedup
1S, .018893600, 1
#threads, exec_time, speedup
1S, .017671500, 1
#threads, exec_time, speedup
1S, .019864400, 1
#threads, exec_time, speedup
1S, .018392700, 1
#threads, exec_time, speedup
1S, .019419600, 1
#threads, exec_time, speedup
1S, .017472000, 1
#threads, exec_time, speedup
1S, .018839800, 1
#threads, exec_time, speedup
1S, .018677500, 1
#threads, exec_time, speedup
1S, .018974000, 1
#threads, exec_time, speedup
1S, .022406100, 1
#threads, exec_time, speedup
1S, .018249900, 1
#threads, exec_time, speedup
1S, .018647800, 1
#threads, exec_time, speedup
1S, .018355400, 1
#threads, exec_time, speedup
1S, .018206600, 1
#threads, exec_time, speedup
1S, .018811500, 1
#threads, exec_time, speedup
1S, .017885500, 1
#threads, exec_time, speedup
1S, .018031500, 1
#threads, exec_time, speedup
1S, .018222900, 1
#threads, exec_time, speedup
1S, .017307700, 1
#threads, exec_time, speedup
1S, .018859300, 1
#threads, exec_time, speedup
1S, .018576200, 1
#threads, exec_time, speedup
1S, .018160700, 1
#threads, exec_time, speedup
1S, .018856200, 1
#threads, exec_time, speedup
1S, .017001200, 1
#threads, exec_time, speedup
1S, .016886000, 1
#threads, exec_time, speedup
1S, .016664100, 1
#threads, exec_time, speedup
1S, .017844100, 1
#threads, exec_time, speedup
1S, .016666700, 1
#threads, exec_time, speedup
1S, .016996600, 1
#threads, exec_time, speedup
1S, .018406500, 1
#threads, exec_time, speedup
1S, .016287800, 1
#threads, exec_time, speedup
1S, .017899900, 1
#threads, exec_time, speedup
1S, .017153200, 1
